coin,initial_buy_price,initial_buy_cost
ALPHA,1.0999,0.0010999000000000002
SXP,2.636,0.0026360000000000003
HBAR,0.4222,0.0004222
RVN,0.11359,0.00011359
MLN,121.7,0.1217
NANO,5.618,0.005618000000000001
CTSI,0.673,0.0006730000000000001
KAVA,6.248,0.006248
C98,4.171,0.004171
PSG,30.0,0.03
VIDT,0.9549,0.0009549
AVA,3.551,0.0035510000000000003
COCOS,0.7201,0.0007201
STRAX,2.552,0.002552
EOSUP,1.1737,0.0011737
THETA,6.344,0.006344000000000001
AAVEDOWN,0.007322,7.322e-06
BCHUP,0.4146,0.00041460000000000005
WAN,0.9334,0.0009334
ORN,11.133,0.011132999999999999
PERL,0.09324,9.324000000000001e-05
XLMDOWN,8.49,0.008490000000000001
MASK,11.664,0.011664
AAVE,355.1,0.3551
PERP,14.9,0.0149
1INCHUP,0.051438,5.1438e-05
SXPUP,0.37,0.00037
YFIDOWN,1.0222,0.0010222
BOND,25.61,0.02561
YFI,33731.19,33.731190000000005
XEC,0.00023174,2.3174e-07
AXS,66.32,0.06631999999999999
ZIL,0.10787,0.00010787
XEM,0.1841,0.00018410000000000003
CTXC,0.2717,0.0002717
XTZUP,0.09269,9.269e-05
AAVEUP,1.2925,0.0012925
SUSHIDOWN,0.0003798,3.798e-07
COMP,401.8,0.40180000000000005
RUNE,9.86,0.009859999999999999
FORTH,15.43,0.01543
KMD,1.0742,0.0010742
GHST,1.708,0.001708
IDEX,0.44416,0.00044416000000000003
BNBDOWN,0.3618,0.0003618
DEXE,13.58,0.01358
AVAX,70.29,0.07029
KNC,1.795,0.001795
BTCUP,88.5,0.0885
LPT,18.84,0.01884
HIVE,0.7478,0.0007478000000000001
WAXP,0.282,0.00028199999999999997
YFIUP,0.2661,0.0002661
FET,0.8213,0.0008213000000000001
LRC,0.4648,0.0004648
MTL,3.684,0.003684
VET,0.11302,0.00011302
ALPACA,1.1191,0.0011191
OXT,0.3806,0.0003806
USDP,1.0,0.001
DASH,200.5,0.2005
BTCST,19.07,0.01907
LSK,3.589,0.003589
KEEP,0.4767,0.00047670000000000004
BEAM,0.7098,0.0007098
DCR,141.2,0.1412
DATA,0.13892,0.00013891999999999998
FILUP,2.78,0.00278
UNIUP,4.721,0.004721
LTC,181.3,0.18130000000000002
USDC,0.9999,0.0009999
WIN,0.0005099,5.099e-07
LTCUP,4.323,0.0043230000000000005
INJ,10.821,0.010821
TCT,0.03524,3.524e-05
LTO,0.2954,0.0002954
TRIBE,0.6381,0.0006381000000000001
DYDX,15.322,0.015321999999999999
POND,0.10975,0.00010975
LINA,0.04819,4.819e-05
XLM,0.3235,0.0003235
LINK,28.46,0.028460000000000003
QTUM,12.523,0.012523
FILDOWN,0.000531,5.31e-07
SUPER,0.8207,0.0008207
POLS,1.807,0.001807
KSM,416.6,0.4166
FIL,84.27,0.08427
POLY,0.7,0.0007
STMX,0.03458,3.458e-05
BAL,25.68,0.02568
FIO,0.2244,0.0002244
GALA,0.12368,0.00012368
FIS,1.8878,0.0018878
BAR,18.12,0.01812
BAT,0.7501,0.0007501
AKRO,0.02768,2.768e-05
XMR,273.8,0.27380000000000004
1INCHDOWN,0.06,6e-05
COTI,0.4047,0.0004047
