coin,initial_buy_price,initial_buy_cost,rebought_at,rebuy_cost,gained,total_initial_buy_cost,total_rebuy_cost
CFXUSDT,0.6181,0.0006181,0.6179,0.0006179,0.010452100000000075,0.6187180999999999,0.6185179
WINGUSDT,20.74,0.0207399999999999,20.71,0.020710000000000003,0.04697000000000173,20.76074,20.730710000000002
SNXUSDT,12.557,0.012557,12.557,0.012557,0.042545999999997974,12.569557,12.569557
QNTUSDT,359.0,0.359,358.5,0.3585,2.2076000000000704,359.359,358.8585
FTTUSDT,63.13,0.06313,63.12,0.06312,0.023589999999998668,63.193130000000004,63.183119999999995
XTZDOWNUSDT,5.151,0.005151,5.151,0.005151,0.029349999999999987,5.1561509999999995,5.1561509999999995
LUNAUSDT,35.66,0.03566,35.66,0.03566,0.0857600000000005,35.69566,35.69566
MASKUSDT,11.664,0.011664,11.662,0.011662,0.046971000000000984,11.675664,11.673662
BADGERUSDT,22.26,0.02226,22.26,0.022260000000000002,0.061719999999994,22.28226,22.28226
MASKUSDT,11.664,0.011664,11.648,0.011648,0.08058999999999905,11.675664,11.659647999999999
LUNAUSDT,35.66,0.03566,35.66,0.03566,0.10435000000000372,35.69566,35.69566
BTCSTUSDT,19.07,0.01907,19.07,0.01907,0.1913000000000018,19.08907,19.08907
SRMUSDT,10.443,0.010443,10.441,0.010441,0.02118100000000034,10.453443,10.451441
MASKUSDT,11.664,0.011664,11.664,0.011664,0.09325799999999873,11.675664,11.675664
SNXUSDT,12.557,0.012557,12.553,0.012553000000000002,0.06238699999999753,12.569557,12.565553000000001
BADGERUSDT,22.26,0.02226,22.25,0.02225,0.07713999999999288,22.28226,22.27225
ZENUSDT,94.79,0.09479,94.77,0.09477,0.2510099999999795,94.88479000000001,94.86477
DYDXUSDT,15.322,0.0153219999999999,15.321,0.015321,0.038287000000000404,15.337321999999999,15.336321
MASKUSDT,11.664,0.011664,11.647,0.011647000000000001,0.11388599999999904,11.675664,11.658647
MASKUSDT,11.664,0.011664,11.662,0.011662,0.1285539999999994,11.675664,11.673662
TRXDOWNUSDT,10.708,0.010708,10.708,0.010708,0.014547999999999561,10.718708,10.718708
LUNAUSDT,35.66,0.03566,35.65,0.03565,0.13293000000000177,35.69566,35.685649999999995
QNTUSDT,359.0,0.359,359.0,0.359,3.8882000000000403,359.359,359.359
MASKUSDT,11.664,0.011664,11.662,0.011662,0.1461889999999979,11.675664,11.673662
CTKUSDT,2.132,0.002132,2.132,0.002132,0.010720999999999759,2.134132,2.134132
BARUSDT,18.12,0.01812,18.12,0.01812,0.013709999999999667,18.13812,18.13812
PSGUSDT,30.0,0.03,29.99,0.02999,0.02991000000000099,30.03,30.01999
YFIDOWNUSDT,1.0222,0.0010222,1.0203,0.0010203,0.011841699999999955,1.0232222,1.0213203
QNTUSDT,359.0,0.359,358.5,0.3585,5.068300000000022,359.359,358.8585
LUNAUSDT,35.66,0.03566,35.66,0.03566,0.18151000000000295,35.69566,35.69566
MASKUSDT,11.664,0.011664,11.662,0.011662,0.15982799999999742,11.675664,11.673662
1INCHUSDT,3.124,0.003124,3.124,0.003124,0.010734999999999939,3.1271240000000002,3.1271240000000002
DYDXUSDT,15.322,0.0153219999999999,15.316,0.015316000000000001,0.06259000000000015,15.337321999999999,15.331316000000001
FIROUSDT,7.609,0.007609,7.609,0.007609,0.039509999999999934,7.616609,7.616609
BADGERUSDT,22.26,0.02226,22.25,0.02225,0.11255999999999133,22.28226,22.27225
LUNAUSDT,35.66,0.03566,35.65,0.03565,0.20010000000000616,35.69566,35.685649999999995
XMRUSDT,273.8,0.2738,273.6,0.2736,0.15170000000000528,274.0738,273.8736
RAYUSDT,12.963,0.0129629999999999,12.954,0.012954,0.010038000000001546,12.975962999999998,12.966954000000001
RAYUSDT,12.963,0.0129629999999999,12.962,0.012962,0.026088000000001443,12.975962999999998,12.974962
BTCUSDT,48176.69,48.17669,48172.0,48.172000000000004,6.943219999993744,48224.86669,48220.172
BONDUSDT,25.61,0.02561,25.55,0.02555,0.06866000000000128,25.63561,25.57555
SRMUSDT,10.443,0.010443,10.44,0.01044,0.032267000000000934,10.453443,10.450439999999999
DOTUPUSDT,11.766,0.011766,11.744,0.011744,0.02686999999999884,11.777766,11.755744
XVSUSDT,31.9,0.0319,31.9,0.0319,0.10832000000000264,31.9319,31.9319
ERNUSDT,13.809,0.013809,13.698,0.013698,0.0678440000000009,13.822809,13.711698
ORNUSDT,11.133,0.0111329999999999,11.121,0.011121,0.01070100000000096,11.144132999999998,11.132121
ERNUSDT,13.809,0.013809,13.739,0.013739000000000001,0.08140700000000045,13.822809,13.752739
ERNUSDT,13.809,0.013809,13.78,0.013779999999999999,0.0948879999999992,13.822809,13.79378
ERNUSDT,13.809,0.013809,13.759,0.013759,0.14325200000000038,13.822809,13.772759
ERNUSDT,13.809,0.013809,13.8,0.013800000000000002,0.15669300000000064,13.822809,13.8138
OMUSDT,0.3069,0.0003069,0.3069,0.00030690000000000003,0.011573999999999973,0.3072069,0.3072069
ORNUSDT,11.133,0.0111329999999999,11.132,0.011132,0.0334140000000005,11.144132999999998,11.143132
INJUSDT,10.821,0.010821,10.819,0.010819,0.0263100000000005,10.831821,10.829819
LUNAUSDT,35.66,0.03566,35.65,0.03565,0.21871000000000862,35.69566,35.685649999999995
ADAUPUSDT,166.624,0.166624,166.482,0.166482,0.15726100000000542,166.790624,166.648482
CLVUSDT,1.342,0.001342,1.342,0.001342,0.012300999999999895,1.343342,1.343342
DYDXUSDT,15.322,0.0153219999999999,15.321,0.015321,0.09089900000000029,15.337321999999999,15.336321
XLMDOWNUSDT,8.49,0.00849,8.486,0.008486,0.032969999999998834,8.49849,8.494486
PERPUSDT,14.9,0.0149,14.89,0.01489,0.010159999999999059,14.914900000000001,14.90489
ARUSDT,49.99,0.04999,49.86,0.04986,0.019899999999999807,50.03999,49.90986
DYDXUSDT,15.322,0.0153219999999999,15.317,0.015317,0.10421300000000144,15.337321999999999,15.332317
WNXMUSDT,73.0,0.073,72.5,0.0725,0.01384000000000185,73.073,72.5725
ARUSDT,49.99,0.04999,49.98,0.04998,0.040059999999996876,50.03999,50.029979999999995
WNXMUSDT,73.0,0.073,73.0,0.073,0.49821000000000026,73.073,73.073
DYDXUSDT,15.322,0.0153219999999999,15.305,0.015305000000000001,0.1395130000000009,15.337321999999999,15.320305
UMAUSDT,11.377,0.011377,11.358,0.011358,0.0486930000000001,11.388377,11.369358
CLVUSDT,1.342,0.001342,1.341,0.001341,0.025600999999999985,1.343342,1.342341
DYDXUSDT,15.322,0.0153219999999999,15.311,0.015311,0.15385800000000138,15.337321999999999,15.326311
EGLDUSDT,242.66,0.24266,242.51,0.24251,0.024169999999998026,242.90266,242.75251
